"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2019","26,922.12","26,805.86","26,966.00","26,616.21","846.63M","1.21%"
"06/23/2019","26,599.96","26,727.61","26,806.52","26,465.32","1.54B","-0.45%"
"06/16/2019","26,719.13","26,108.53","26,907.37","26,049.80","1.48B","2.41%"
"06/09/2019","26,089.61","26,090.22","26,248.67","25,958.66","1.15B","0.41%"
"06/02/2019","25,983.94","24,830.16","26,072.75","24,680.57","1.38B","4.71%"
"05/26/2019","24,815.04","25,616.55","25,717.63","24,809.51","1.17B","-3.01%"
"05/19/2019","25,585.69","25,655.31","25,898.27","25,328.09","1.30B","-0.69%"
"05/12/2019","25,764.00","25,568.06","25,957.63","25,222.51","1.53B","-0.69%"
"05/05/2019","25,942.37","26,160.62","26,476.27","25,469.86","1.52B","-2.12%"
"04/28/2019","26,504.95","26,559.87","26,689.39","26,180.36","1.46B","-0.14%"
"04/21/2019","26,543.33","26,510.77","26,695.96","26,310.28","1.44B","-0.06%"
"04/14/2019","26,559.54","26,407.76","26,602.42","26,316.42","1.25B","0.56%"
"04/07/2019","26,412.30","26,312.67","26,436.68","26,062.59","1.26B","-0.05%"
"03/31/2019","26,424.99","26,075.10","26,487.57","26,071.69","1.28B","1.91%"
"03/24/2019","25,928.68","25,490.72","25,949.32","25,372.26","1.42B","1.67%"
"03/17/2019","25,502.32","25,801.88","26,109.68","25,501.45","1.69B","-1.34%"
"03/10/2019","25,848.87","25,208.00","25,927.91","25,208.00","1.87B","1.57%"
"03/03/2019","25,450.24","26,122.19","26,155.98","25,252.46","1.36B","-2.21%"
"02/24/2019","26,026.32","26,126.15","26,241.42","25,877.24","1.42B","-0.02%"
"02/17/2019","26,031.81","25,849.85","26,052.90","25,762.21","1.10B","0.57%"
"02/10/2019","25,883.25","25,142.81","25,883.72","25,009.10","1.42B","3.09%"
"02/03/2019","25,106.33","25,062.12","25,439.04","24,883.04","1.40B","0.17%"
"01/27/2019","25,063.89","24,596.98","25,193.15","24,323.94","1.95B","1.32%"
"01/20/2019","24,737.20","24,607.76","24,860.15","24,244.31","1.35B","0.12%"
"01/13/2019","24,706.35","23,880.53","24,750.22","23,765.24","1.53B","2.96%"
"01/06/2019","23,995.95","23,474.26","24,014.78","23,301.59","1.58B","2.40%"
"12/30/2018","23,433.16","23,153.94","23,518.64","22,638.41","1.43B","1.61%"
"12/23/2018","23,062.40","22,317.28","23,381.88","21,712.53","1.49B","2.75%"
"12/16/2018","22,445.37","23,986.83","24,088.08","22,396.34","2.86B","-6.87%"
"12/09/2018","24,100.51","24,360.95","24,828.29","23,881.37","1.79B","-1.18%"
"12/02/2018","24,388.95","25,779.57","25,980.21","24,242.22","1.68B","-4.50%"
"11/25/2018","25,538.46","24,364.13","25,549.71","24,364.13","1.76B","5.16%"
